BX = 000 Event : 1
0x06 0001000|0011001 0x0419
0x07 0001000|0011010 0x041A
0x08 0001000|0011011 0x041B
0x09 0110100|0000000 0x1A00
0x0a 0110100|0000010 0x1A02
0x0b 0111001|0001101 0x1C8D
BX = 111 Event : 72
0x00 0001101|0010101 0x0695
0x01 0001101|0011010 0x069A
BX = 000 Event : 73
0x00 0000000|0000000 0x0000
0x01 0100001|0110001 0x10B1
0x02 0100100|1001010 0x124A
0x03 0100100|0000000 0x1200
0x04 0100101|1001010 0x12CA
0x05 0100101|0000000 0x1280
0x06 0100101|0000011 0x1283
0x07 0100110|1001010 0x134A
0x08 0100110|0000000 0x1300
0x09 0100110|0000011 0x1303
0x0a 0101000|0001000 0x1408
0x0b 0110000|0110001 0x1831
0x0c 0110010|0110001 0x1931
0x0d 0110100|0110001 0x1A31
0x0e 0110101|0110001 0x1AB1
0x0f 0110111|0110001 0x1BB1
BX = 001 Event : 74
0x00 0111111|1001101 0x1FCD
BX = 010 Event : 75
BX = 011 Event : 76
BX = 100 Event : 77
0x00 0000011|0001011 0x018B
BX = 101 Event : 78
0x00 0001011|0000001 0x0581
0x01 0001011|0000101 0x0585
0x02 0001011|0001001 0x0589
0x03 0001011|0001010 0x058A
0x04 0101001|0000001 0x1481
0x05 0101001|0000101 0x1485
0x06 0101001|0001001 0x1489
0x07 0101001|0001010 0x148A
BX = 110 Event : 79
0x00 0000000|0001000 0x0008
0x01 0110000|1000001 0x1841
0x02 0110000|1000010 0x1842
0x03 0110000|1000011 0x1843
0x04 0111001|0001101 0x1C8D
BX = 111 Event : 80
0x00 0001000|0100110 0x0426
BX = 000 Event : 81
0x00 0101000|0000010 0x1402
0x01 0101001|0000010 0x1482
0x02 0101010|0000010 0x1502
0x03 0111000|0100110 0x1C26
0x04 0111010|0100110 0x1D26
BX = 001 Event : 82
0x00 0000010|0000010 0x0102
0x01 0000101|0000010 0x0282
0x02 0010010|0001111 0x090F
0x03 0010010|0010011 0x0913
0x04 0010010|0010100 0x0914
0x05 0010011|0010100 0x0994
0x06 1000111|0000010 0x2382
0x07 1001011|0000101 0x2585
BX = 010 Event : 83
0x00 0010100|0001010 0x0A0A
0x01 0010100|0001011 0x0A0B
0x02 0110100|0110101 0x1A35
BX = 011 Event : 84
0x00 0000101|0010010 0x0292
0x01 0000101|0010110 0x0296
0x02 0000110|0011101 0x031D
0x03 0000111|0011101 0x039D
0x04 0010001|0011101 0x089D
0x05 0101000|0001010 0x140A
BX = 100 Event : 85
BX = 101 Event : 86
0x00 0000010|0000111 0x0107
0x01 0000010|0001010 0x010A
0x02 0000110|0010100 0x0314
0x03 0000110|0010101 0x0315
0x04 0110000|0000111 0x1807
0x05 0110001|0010011 0x1893
0x06 0110001|0010101 0x1895
0x07 0111000|0000000 0x1C00
0x08 0111001|0000000 0x1C80
BX = 110 Event : 87
BX = 111 Event : 88
0x00 0000001|0001000 0x0088
0x01 0101100|0100100 0x1624
0x02 0111001|0001000 0x1C88
0x03 0111010|0001000 0x1D08
0x04 0111011|0001000 0x1D88
0x05 0111011|0001011 0x1D8B
0x06 1000001|0100100 0x20A4
BX = 000 Event : 89
0x00 0100010|0001000 0x1108
0x01 0100010|0001001 0x1109
0x02 0100010|0001010 0x110A
0x03 0100010|0001011 0x110B
0x04 0100010|0001100 0x110C
BX = 001 Event : 90
0x00 0101110|0011101 0x171D
0x01 0101110|0011110 0x171E
BX = 010 Event : 91
0x00 0001010|0010000 0x0510
0x01 0110101|0000010 0x1A82
0x02 0110110|0000010 0x1B02
0x03 0110111|0000010 0x1B82
BX = 011 Event : 92
0x00 0000110|0010101 0x0315
BX = 100 Event : 93
0x00 0000100|0001101 0x020D
0x01 0101000|0000011 0x1403
0x02 0101010|0000001 0x1501
0x03 0101010|0000010 0x1502
0x04 0101010|0000011 0x1503
BX = 101 Event : 94
0x00 0000100|0000001 0x0201
0x01 0000100|0000010 0x0202
0x02 0100101|0000010 0x1282
0x03 0100110|0000001 0x1301
0x04 0100110|0000010 0x1302
0x05 0101011|0000111 0x1587
0x06 0101111|0011110 0x179E
BX = 110 Event : 95
0x00 0100000|0101100 0x102C
0x01 0100100|0101000 0x1228
0x02 0100100|0101100 0x122C
BX = 111 Event : 96
0x00 0010011|0011101 0x099D
0x01 0010011|0011111 0x099F
0x02 0101111|0111111 0x17BF
0x03 0101111|1000001 0x17C1
0x04 0101111|1000010 0x17C2
0x05 0110100|0000011 0x1A03
0x06 0111001|0001011 0x1C8B
0x07 0111001|0010001 0x1C91
0x08 1000001|0111011 0x20BB
0x09 1000001|0111111 0x20BF
0x0a 1000001|1000001 0x20C1
0x0b 1000001|1000010 0x20C2
BX = 000 Event : 97
0x00 0001111|0011110 0x079E
0x01 0010101|0010110 0x0A96
0x02 0101101|0000000 0x1680
0x03 0101101|0000100 0x1684
0x04 0101101|0000101 0x1685
0x05 0101111|0000000 0x1780
0x06 0101111|0000100 0x1784
0x07 0101111|0000101 0x1785
BX = 001 Event : 98
0x00 0101010|0011110 0x151E
BX = 010 Event : 99
0x00 0001001|0000100 0x0484
0x01 0001001|0001111 0x048F
0x02 1001111|0000100 0x2784
0x03 1001111|0001111 0x278F
BX = 011 Event : 100
0x00 0001000|0000111 0x0407
0x01 0001000|0001000 0x0408
0x02 0001000|0001001 0x0409
0x03 0001000|0001100 0x040C
0x04 0001000|0001101 0x040D
